Abeokuta
Abuja
Akure
Awka
Bauchi 
Benin
Bida
Birnin Kebbi
Calabar
Enugu
Gombe 
Gusau 
Ibadan
Ibi
Ijebu-Ode
Ikeja
Ikom
Ilorin
Iseyin
Jos
Kaduna 
Kano 
Katsina 
Lafia
Lagos Marine
Lagos Roof
Lokoja
Maduguri
Markurdi
Minna
Nguru 
Ogoja
Ondo
Onitsha
Oshodi
Osogbo
Owerri
PortHarcourt
Potiskum
Sharki
Sokoto
Umuahia
Uyo
Warri
Yelwa
Yola
Zaria 
